,Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
28,0.0,Tue Mar 06 22:02:59 +0000 2018,0.0,1.0,0.0,Trump tariffs: President says EU making business 'impossible' https://t.co/dt5xukZ1b7,29,BBCWorld
29,0.0,Tue Mar 06 21:57:03 +0000 2018,0.0,1.0,0.0,Michelle Obama dances with Parker the portrait girl https://t.co/cBK9lOZphj,30,BBCWorld
30,0.0,Tue Mar 06 21:40:48 +0000 2018,0.0,1.0,0.0,Rex Tillerson slams China's relationship with Africa https://t.co/a7duVWb0aP,31,BBCWorld
31,0.0,Tue Mar 06 21:29:47 +0000 2018,0.0,1.0,0.0,A party-goer stole Frances McDormand's Oscar statue and bragged about it on social media https://t.co/fWnWYNH401,32,BBCWorld
32,-0.4995,Tue Mar 06 21:22:10 +0000 2018,0.239,0.645,0.116,"President Donald Trump says ""trade wars aren't so bad"" when the US has a trade deficit with many other countries https://t.co/BI6137GSx4",33,BBCWorld
33,-0.1027,Tue Mar 06 21:00:54 +0000 2018,0.149,0.851,0.0,Donald Trump cautious on N Korea nuclear disarmament talks https://t.co/YP1t9Cmpnq,34,BBCWorld
34,0.0,Tue Mar 06 20:41:23 +0000 2018,0.0,1.0,0.0,"Argentina abortion: Referendum 'on the table', government says https://t.co/08PuCy3Ghv",35,BBCWorld
35,0.0,Tue Mar 06 19:23:37 +0000 2018,0.0,1.0,0.0,Digging for a son in Eastern Ghouta https://t.co/IX5kA0R2xh,36,BBCWorld
36,-0.3182,Tue Mar 06 18:23:28 +0000 2018,0.126,0.874,0.0,"Lost WW2 aircraft carrier USS Lexington found after 76 years off the coast of Australia

https://t.co/T3dq3C3QY8 https://t.co/yzCg9JMki2",37,BBCWorld
37,-0.4939,Tue Mar 06 17:48:34 +0000 2018,0.348,0.652,0.0,Watch Frances McDormand's Oscar being stolen https://t.co/Lq8DnGZwLI,38,BBCWorld
38,0.0,Tue Mar 06 17:28:55 +0000 2018,0.0,1.0,0.0,Crowd catches little girl from ski lift fall https://t.co/CvM33wpmzK,39,BBCWorld
39,-0.2263,Tue Mar 06 16:46:28 +0000 2018,0.098,0.844,0.058,"RT @BBCSport: Fiorentina have retired the shirt number worn by Davide Astori.

His former club Cagliari have done the same.

👉 https://t.co…",40,BBCWorld
40,-0.4767,Tue Mar 06 16:36:56 +0000 2018,0.279,0.721,0.0,Rwanda church closures: Pastors arrested for defying order https://t.co/a7O9AdBvhD,41,BBCWorld
41,0.0,Tue Mar 06 16:32:17 +0000 2018,0.0,1.0,0.0,"Leaders from North Korea, China, Uganda, Russia, Iraq, Cuba and Syria https://t.co/hO105CFul9",42,BBCWorld
42,-0.7783,Tue Mar 06 16:17:44 +0000 2018,0.459,0.541,0.0,USS Lexington: World War Two aircraft carrier wreck found https://t.co/m8oUxkAjTc,43,BBCWorld
43,0.0,Tue Mar 06 16:12:46 +0000 2018,0.0,1.0,0.0,The future of fast food? 🍔 https://t.co/EJVxGJCKd7,44,BBCWorld
44,0.0,Tue Mar 06 15:58:16 +0000 2018,0.0,1.0,0.0,'Their blood is on your hands' https://t.co/l01nszDJVK,45,BBCWorld
45,0.0,Tue Mar 06 15:53:22 +0000 2018,0.0,1.0,0.0,Trump slumps on Forbes billionaires list https://t.co/O0ksA4gBQs,46,BBCWorld
46,0.6705,Tue Mar 06 15:36:10 +0000 2018,0.0,0.776,0.224,RT @BBCFergusWalsh: Four dementia scientists share 1m Euro brain prize for pivotal work unpicking the protein changes that lead to Alzheime…,47,BBCWorld
47,0.0,Tue Mar 06 15:25:24 +0000 2018,0.0,1.0,0.0,"RT @BBCNews: When a robin photobombs your picture… 

@AmandaPache, from Edinburgh, was filming a walk in the snow when this happened https:…",48,BBCWorld
48,0.3818,Tue Mar 06 14:58:12 +0000 2018,0.0,0.816,0.184,"RT @BBC_HaveYourSay: RuPaul called the trans community “heroes of our shared LGBTQ movement” in his apology 🏳️‍🌈

https://t.co/do7V7kTGUQ",49,BBCWorld
49,0.8225,Tue Mar 06 14:34:51 +0000 2018,0.0,0.479,0.521,'Super Monster Wolf' a success in Japan farming trials https://t.co/V0mYNFz0mw,50,BBCWorld
50,0.0,Tue Mar 06 14:21:11 +0000 2018,0.0,1.0,0.0,"What is populism, and what does the term actually mean? https://t.co/GIMtXSrh0D",51,BBCWorld
51,-0.7351,Tue Mar 06 13:54:46 +0000 2018,0.508,0.492,0.0,Russian plane crash in Syria 'kills 32' https://t.co/VAak593ePD,52,BBCWorld
52,-0.6124,Tue Mar 06 13:47:52 +0000 2018,0.193,0.746,0.061,"RT @BBCBreaking: Russian military plane crashes in Syria killing 26 passengers and six crew members, defence ministry says https://t.co/sJx…",53,BBCWorld
53,-0.4215,Tue Mar 06 13:34:58 +0000 2018,0.219,0.781,0.0,Diver swims through thick soup of plastic waste near Bali https://t.co/u3NbHqmYln,54,BBCWorld
54,0.0,Tue Mar 06 13:09:54 +0000 2018,0.0,1.0,0.0,Estonian district votes to get cannabis leaf flag https://t.co/xsW4OojXPG,55,BBCWorld
55,0.0,Tue Mar 06 12:33:18 +0000 2018,0.0,1.0,0.0,Diver films sea of plastic off Nusa Penida near Bali https://t.co/KIcXSDHzcn,56,BBCWorld
56,0.4939,Tue Mar 06 12:21:35 +0000 2018,0.097,0.664,0.239,"RT @BBCSport: A great gesture.

Fiorentina and Cagliari have retired the shirt number worn by Davide Astori.

More: https://t.co/zwgwAocKba…",57,BBCWorld
57,0.34,Tue Mar 06 12:10:57 +0000 2018,0.0,0.726,0.274,France to fix legal age of sexual consent as 15 https://t.co/wy8ZNsoaSO,58,BBCWorld
58,-0.34,Tue Mar 06 12:01:15 +0000 2018,0.231,0.769,0.0,Florida shooting: State lawmakers pass gun control measures https://t.co/47vnK7PlhY,59,BBCWorld
59,0.4215,Tue Mar 06 12:01:15 +0000 2018,0.0,0.763,0.237,World's last male northern white rhino Sudan improves slightly https://t.co/jP2x0pIyz4,60,BBCWorld
60,0.0,Tue Mar 06 11:43:07 +0000 2018,0.0,1.0,0.0,"Oldest message in a bottle found on beach in Western Australia

It's almost 132 years old 😲

https://t.co/1nTKs6kAd7 https://t.co/Z6TJHAQKcN",61,BBCWorld
61,-0.4939,Tue Mar 06 11:38:43 +0000 2018,0.314,0.686,0.0,Hong Kong 'tiger' scare after feline sighting https://t.co/prRP0Q5aa1,62,BBCWorld
62,-0.7906,Tue Mar 06 11:21:00 +0000 2018,0.5,0.5,0.0,Syria war: 'Chlorine attack' on besieged Eastern Ghouta https://t.co/51skSNZBah,63,BBCWorld
63,-0.8625,Tue Mar 06 11:16:35 +0000 2018,0.578,0.422,0.0,Sri Lanka violence: State of emergency declared over attacks https://t.co/nkBX7UTmTR,64,BBCWorld
64,0.0,Tue Mar 06 10:49:57 +0000 2018,0.0,1.0,0.0,New Zealand census campaigner takes to his TARDIS https://t.co/MGzKZgsM0z,65,BBCWorld
65,0.0,Tue Mar 06 10:46:08 +0000 2018,0.0,1.0,0.0,Life of Pi actor has 'rare disease' https://t.co/k5YUe7iIDj,66,BBCWorld
66,0.0,Tue Mar 06 10:37:07 +0000 2018,0.0,1.0,0.0,Oldest message in a bottle found on West Australia beach https://t.co/PedW4Ur0Jp,67,BBCWorld
67,0.0,Tue Mar 06 09:54:45 +0000 2018,0.0,1.0,0.0,RT @BBCSport: 🎾 WTA beware... Serena is back! https://t.co/njCUjsVIXO,68,BBCWorld
68,0.0,Tue Mar 06 08:49:06 +0000 2018,0.0,1.0,0.0,The story of women's football in 10 objects https://t.co/lgTnzIASOH,69,BBCWorld
69,-0.4588,Tue Mar 06 08:45:37 +0000 2018,0.12,0.88,0.0,"RT @BBCSport: 'Oh captain, my captain. Why did you not come down to have breakfast with us all?'

A heartbreaking tribute to Davide Astori…",70,BBCWorld
70,0.4466,Tue Mar 06 08:36:16 +0000 2018,0.0,0.891,0.109,"RT @BBCSport: ""As long as I'm moving forward, even if it's at a turtle's pace, then I'm OK with that.""

Serena Williams is back 👊

More fro…",71,BBCWorld
71,-0.4215,Tue Mar 06 08:35:40 +0000 2018,0.123,0.877,0.0,"RT @BBCMonitoring: Kremlin spokesman Dmitry Peskov calls the incident ""tragic"" but says Moscow has no information on what happened to #Skri…",72,BBCWorld
72,-0.6249,Tue Mar 06 08:35:33 +0000 2018,0.181,0.819,0.0,RT @SallyBundockBBC: Should the food industry be forced to cut the fat? Should we be told by a government body how many calories we can eat…,73,BBCWorld
73,0.2732,Tue Mar 06 08:31:17 +0000 2018,0.0,0.811,0.189,"RT @BBCNews: A surprising new afterlife for chewing gum ♻️

https://t.co/1d1oT6aQoW",74,BBCWorld
74,-0.4404,Tue Mar 06 08:02:11 +0000 2018,0.244,0.756,0.0,Kobe Steel chief Hiroya Kawasaki quits after data scandal https://t.co/lewlw9HD15,75,BBCWorld
75,-0.4019,Tue Mar 06 08:01:09 +0000 2018,0.119,0.881,0.0,"RT @BBCSteveR: As a former Russian double agent fights for his life in a UK hospital, today's Russian papers quote Vladimir Putin thanking…",76,BBCWorld
76,0.0,Tue Mar 06 07:22:29 +0000 2018,0.0,1.0,0.0,"Yusuf, 14, aims to be first US Muslim president https://t.co/GM0mC0gnAi",77,BBCWorld
77,-0.6249,Tue Mar 06 07:18:09 +0000 2018,0.339,0.661,0.0,Rohingya crisis: UN envoy says ethnic cleansing continues https://t.co/j6TmE4o2hb,78,BBCWorld
78,0.25,Tue Mar 06 07:18:09 +0000 2018,0.0,0.8,0.2,Emma Watson jokes she needs a tattoo proof reader https://t.co/UYBob11AjG,79,BBCWorld
79,-0.7351,Tue Mar 06 06:29:03 +0000 2018,0.547,0.312,0.141,Top S Korean politician resigns over rape https://t.co/nrdTYIQTec,80,BBCWorld
80,-0.4019,Tue Mar 06 06:21:27 +0000 2018,0.194,0.737,0.069,RT @BBCNewsAsia: A South Korean politician once tipped as a presidential contender has resigned after his secretary publicly accused him of…,81,BBCWorld
81,-0.3818,Tue Mar 06 05:43:48 +0000 2018,0.245,0.755,0.0,Panama hotel removes Trump branding after court battle https://t.co/WnQUXn2AiQ,82,BBCWorld
82,-0.3818,Tue Mar 06 04:54:34 +0000 2018,0.224,0.776,0.0,Afrin: What is going on in Syria's other battle? https://t.co/WfZ9BlFlGb,83,BBCWorld
83,-0.1531,Tue Mar 06 04:46:31 +0000 2018,0.211,0.789,0.0,"Child marriage numbers falling, says Unicef https://t.co/5Q28Q7V5e7",84,BBCWorld
84,-0.3182,Tue Mar 06 04:28:34 +0000 2018,0.187,0.813,0.0,USS Lexington: Lost WW2 aircraft carrier found after 76 years https://t.co/X88a5mWv8y,85,BBCWorld
85,0.5859,Tue Mar 06 02:30:06 +0000 2018,0.0,0.853,0.147,"RT @BBCNewsAsia: Who says that beauty only comes in one size? 

Plus-size actress and Taiwanese social media celeb Wang Chi wants to prove…",86,BBCWorld
86,0.0,Tue Mar 06 01:44:14 +0000 2018,0.0,1.0,0.0,RT @BBCNewsAsia: Are you one of the WeChat billion? https://t.co/QY7ZsOnWhH,87,BBCWorld
87,0.0,Tue Mar 06 01:40:31 +0000 2018,0.0,1.0,0.0,"RT @BBCNewsAsia: North Korea's Kim Jong-un says he wants to ""write a new history of national reunification"" with South Korea, state media r…",88,BBCWorld
88,0.0,Tue Mar 06 00:59:31 +0000 2018,0.0,1.0,0.0,WeChat hits one billion monthly users - are you one of them? https://t.co/Qlygr0ZZNN,89,BBCWorld
89,-0.6369,Tue Mar 06 00:55:11 +0000 2018,0.296,0.704,0.0,Is India's Bangalore doomed to be the next Cape Town? https://t.co/wxgjNFHrBS,90,BBCWorld
90,0.0,Tue Mar 06 00:55:11 +0000 2018,0.0,1.0,0.0,Fancy charging up your electric car in 10 minutes? https://t.co/XmZeMDu7FL,91,BBCWorld
91,0.0,Tue Mar 06 00:50:58 +0000 2018,0.0,1.0,0.0,A different portrait of black fatherhood https://t.co/iSr4EFLDvn,92,BBCWorld
92,0.0,Tue Mar 06 00:37:47 +0000 2018,0.0,1.0,0.0,Should China's Xi Jinping be president for life? https://t.co/xM5LrJdnig,93,BBCWorld
93,0.0,Tue Mar 06 00:33:37 +0000 2018,0.0,1.0,0.0,N Korea's Kim 'to advance' closer ties with South https://t.co/g8D2rv9Nh0,94,BBCWorld
94,-0.6249,Mon Mar 05 23:21:52 +0000 2018,0.369,0.631,0.0,Syria crisis: Aid convoy inside Eastern Ghouta https://t.co/h9KQ9lxDCa,95,BBCWorld
95,0.0,Mon Mar 05 23:21:52 +0000 2018,0.0,1.0,0.0,'Maisie is the face of change' https://t.co/fS5gdgQGxQ,96,BBCWorld
96,0.4588,Mon Mar 05 22:33:54 +0000 2018,0.0,0.75,0.25,Oscars 2018: US TV audience smallest for awards ceremony https://t.co/UegYh8KClM,97,BBCWorld
97,0.5574,Mon Mar 05 22:25:22 +0000 2018,0.0,0.66,0.34,NFL wowed by one-handed player Shaquem Griffin https://t.co/bkgiY8bo6K,98,BBCWorld
98,0.0,Mon Mar 05 21:02:08 +0000 2018,0.0,1.0,0.0,Russian spy incident: What we know https://t.co/usdtsWH7Hu,99,BBCWorld
99,0.0,Mon Mar 05 21:02:08 +0000 2018,0.0,1.0,0.0,Trump-Russia: Ex-aide refuses to co-operate with Mueller probe https://t.co/h9McKQN4tg,100,BBCWorld
100,0.2023,Wed Mar 07 09:03:46 +0000 2018,0.0,0.816,0.184,Top Emirates adviser cooperating with Mueller: Report https://t.co/t9QCMH9TV0 https://t.co/2MO246sueL,1,CBSNews
101,-0.6249,Wed Mar 07 08:48:03 +0000 2018,0.282,0.718,0.0,"Nashville Mayor Megan Barry pleads guilty to theft, resigns after admitting to affair https://t.co/UV4mWcCupv https://t.co/ENDuFGhMIr",2,CBSNews
102,-0.34,Wed Mar 07 08:33:08 +0000 2018,0.146,0.854,0.0,DNA leads to arrest in 1986 cold case slayings of two young women https://t.co/MvlCE4ftoX https://t.co/XQ0nkGJeCQ,3,CBSNews
103,-0.4215,Wed Mar 07 08:18:10 +0000 2018,0.157,0.843,0.0,"Man who yelled ""get out my country"" before shooting immigrants in bar pleads guilty https://t.co/66UvvMkSUu https://t.co/oNlJeuzM8j",4,CBSNews
104,-0.7579,Wed Mar 07 08:03:28 +0000 2018,0.394,0.606,0.0,"Video shows man holding girl, 4, amid violent bar fight https://t.co/b00RQAO0vW https://t.co/E9YwTJ1856",5,CBSNews
105,0.0,Wed Mar 07 07:48:04 +0000 2018,0.0,1.0,0.0,GoPro footage captures avalanche trapping snowboarder on California mountain https://t.co/FNaFQlTSZE https://t.co/VPDxhG2A8q,6,CBSNews
106,-0.802,Wed Mar 07 07:33:06 +0000 2018,0.419,0.581,0.0,"Tony Award-winning actress injured, daughter killed by car in crosswalk https://t.co/rPO7RgZ8Xc https://t.co/Lm5NseIaQK",7,CBSNews
107,0.0,Wed Mar 07 07:18:10 +0000 2018,0.0,1.0,0.0,"Prosecutor: Mom returned to work after 8-year-old son shot sister, 4 https://t.co/QHqxZP3eMD https://t.co/QGdJQ5Aodv",8,CBSNews
108,-0.2263,Wed Mar 07 07:03:10 +0000 2018,0.119,0.881,0.0,Ex-ESPN on-air personality says in lawsuit male employees openly watched porn at work https://t.co/pjEQe3l38B https://t.co/fyrvfchyNV,9,CBSNews
109,-0.8957,Wed Mar 07 06:54:05 +0000 2018,0.545,0.455,0.0,"Cop shot dead, 2 others wounded, suspect found dead in home https://t.co/Z0leIVkkAD https://t.co/m7kvHErhMw",10,CBSNews
110,-0.5994,Wed Mar 07 06:48:03 +0000 2018,0.218,0.782,0.0,Man makes son run to school for being kicked off bus for bullying https://t.co/vw0FKUPDfi https://t.co/kDo8yCUvcR,11,CBSNews
111,-0.875,Wed Mar 07 06:33:04 +0000 2018,0.5,0.5,0.0,DNA evidence links 1994 Montana killing to convicted murderer https://t.co/womHAy2BSH https://t.co/rduGWiJjw6,12,CBSNews
112,-0.9001,Wed Mar 07 06:18:09 +0000 2018,0.5,0.5,0.0,Pregnant mom charged in Maine girl's beating death is being abused in jail: attorney https://t.co/K52TFxLin9 https://t.co/tn5LO50k7I,13,CBSNews
113,-0.6808,Wed Mar 07 06:03:43 +0000 2018,0.365,0.635,0.0,"Police: Man raped daughter, fathered her 2 children https://t.co/dFGNTL5SsI https://t.co/74LkB4HrsR",14,CBSNews
114,-0.4215,Wed Mar 07 05:48:03 +0000 2018,0.189,0.811,0.0,"Oprah Winfrey explores revolutionary approach to childhood trauma for ""60 Minutes"" https://t.co/BjOOJfFbHW https://t.co/xPFmarJsCm",15,CBSNews
115,-0.25,Wed Mar 07 05:33:09 +0000 2018,0.337,0.435,0.228,Basketball star Kevin Love opens up about panic attacks https://t.co/2QQtLDwfsP https://t.co/Eve7FYxoTF,16,CBSNews
116,0.4404,Wed Mar 07 05:18:08 +0000 2018,0.0,0.791,0.209,"Japanese volcano spews ash, lava in strongest eruption in years https://t.co/BitRkvBvuq https://t.co/6JvZ8Fhx7l",17,CBSNews
117,0.6705,Wed Mar 07 05:07:56 +0000 2018,0.0,0.776,0.224,Sen. Ted Cruz and Rep. Beto O'Rourke took the nomination for their respective parties in the primaries. Both will f… https://t.co/YRKeBDsJLG,18,CBSNews
118,0.0,Wed Mar 07 05:00:11 +0000 2018,0.0,1.0,0.0,"Jared Kushner to visit Mexico, meet with Mexican president https://t.co/N27bWoM11j https://t.co/3IK7SLp23y",19,CBSNews
119,0.3182,Wed Mar 07 04:50:01 +0000 2018,0.0,0.892,0.108,McDonald's is serving Quarter Pounders with fresh beef rather than frozen patties at about a quarter of its U.S. re… https://t.co/DbO5egblQq,20,CBSNews
120,0.0,Wed Mar 07 04:43:32 +0000 2018,0.0,1.0,0.0,"Texas' Republican Gov. Greg Abbott, who helped lead the state through Hurricane Harvey last fall, is all-but-certai… https://t.co/qkvoNCGXLt",21,CBSNews
121,-0.6597,Wed Mar 07 04:32:01 +0000 2018,0.27,0.635,0.095,The State Department announced it has determined North Korea used chemical weapons last year in the assassination o… https://t.co/W8rLcp6kOt,22,CBSNews
122,0.4215,Wed Mar 07 04:25:03 +0000 2018,0.0,0.887,0.113,The Northeast is bracing for its second powerful storm in four days –– even as cities along the East Coast have yet… https://t.co/KttH6kVXBZ,23,CBSNews
123,-0.5574,Wed Mar 07 03:56:01 +0000 2018,0.153,0.847,0.0,"Spurred by last year's mass shooting in Las Vegas, Washington became the latest in a handful of states to ban trigg… https://t.co/OJLuNZZ23c",24,CBSNews
124,0.0,Wed Mar 07 03:35:01 +0000 2018,0.0,1.0,0.0,A CBS News investigation of child labor in cobalt mines in the Democratic Republic of Congo has revealed that tens… https://t.co/GHBwAfZIOp,25,CBSNews
125,0.0,Wed Mar 07 03:35:01 +0000 2018,0.0,1.0,0.0,The former CEO of a payday lending company that had been under investigation by the Consumer Financial Protection B… https://t.co/1hOp28Hhc0,26,CBSNews
126,-0.8834,Wed Mar 07 03:15:03 +0000 2018,0.407,0.593,0.0,Indiana prosecutor files murder charges against a man in the fatal shooting of a sheriff's deputy during a foot cha… https://t.co/1wkUE3J6BQ,27,CBSNews
127,0.0,Wed Mar 07 03:03:30 +0000 2018,0.0,1.0,0.0,"RT @CBSEveningNews: NOW: @CBSEveningNews with @JeffGlor airs in its entirety on CBSN, @CBSNews' 24/7 streaming news service https://t.co/Me…",28,CBSNews
128,0.2878,Wed Mar 07 02:49:01 +0000 2018,0.0,0.898,0.102,"CBS News analyzed more than a decade's worth of House voting patterns, looking at trends in every district's past v… https://t.co/3jntx3cicy",29,CBSNews
129,0.0,Wed Mar 07 02:40:55 +0000 2018,0.0,1.0,0.0,"@CBSNews Michael Avenatti, the attorney representing Stormy Daniels, will be on @CBSThisMorning, Wednesday, March 7… https://t.co/xyvdH2eFJK",30,CBSNews
130,0.6369,Wed Mar 07 02:30:01 +0000 2018,0.07,0.65,0.28,"In Oval Office, President Trump expresses cautious optimism about North Korea's apparent willingness to negotiate… https://t.co/j6OjbJS1tZ",31,CBSNews
131,0.2732,Wed Mar 07 02:28:00 +0000 2018,0.0,0.896,0.104,"@CBSNews In October 2016, she accepted $130,000 from Mr. Trump's longtime attorney Michael Cohen in exchange for he… https://t.co/kgoAXWzAM5",32,CBSNews
132,0.3182,Wed Mar 07 02:14:02 +0000 2018,0.095,0.746,0.159,"Adult film performer Stormy Daniels files lawsuit to void non-disclosure agreement with President Trump, claiming h… https://t.co/JBv9CGngko",33,CBSNews
133,0.8271,Wed Mar 07 02:11:01 +0000 2018,0.0,0.617,0.383,"JUST IN: Justice Department plans to sue California over ""sanctuary"" laws that help protect undocumented immigrants… https://t.co/o5q38eZlUV",34,CBSNews
134,0.4215,Wed Mar 07 01:35:49 +0000 2018,0.0,0.872,0.128,"President John Tyler, who served from 1841 to 1845, was the United States' tenth commander-in-chief; two of his gra… https://t.co/rqsghbEPfY",35,CBSNews
135,0.0,Wed Mar 07 01:20:01 +0000 2018,0.0,1.0,0.0,Texas is holding the first primary of the 2018 midterm election season. Track updates here: https://t.co/TkuvTA3480 https://t.co/LMAiVcI0Kb,36,CBSNews
136,0.0,Wed Mar 07 01:10:01 +0000 2018,0.0,1.0,0.0,"In 45 states, opioid overdoses rose 30 percent in a year, according to new data from the CDC, indicating that the U… https://t.co/6iKGF11Pnq",37,CBSNews
137,0.0,Wed Mar 07 00:50:01 +0000 2018,0.0,1.0,0.0,Speculation over Gary Cohn's tenure in the White House ramped up last week after Pres. Trump announced the 25 perce… https://t.co/NcqqKRg1md,38,CBSNews
138,0.0,Wed Mar 07 00:30:02 +0000 2018,0.0,1.0,0.0,"The northeast is bracing for round two -- a second major storm in four days; heavy snow, rain and high winds will m… https://t.co/3x1ofE4hZ3",39,CBSNews
139,-0.1779,Wed Mar 07 00:10:43 +0000 2018,0.141,0.747,0.112,"White House aide Kellyanne Conway violated the Hatch Act on two separate occasions, the Office of Special Counsel c… https://t.co/uweIuFHChL",40,CBSNews
140,-0.1027,Wed Mar 07 00:07:41 +0000 2018,0.062,0.938,0.0,"""I find it hard to believe."" Two grandsons of former U.S. president John Tyler are still around nearly 175 after Ty… https://t.co/qpMpX1xgNk",41,CBSNews
141,-0.128,Tue Mar 06 23:58:03 +0000 2018,0.077,0.923,0.0,Most public schools will be open in West Virginia tomorrow. Teachers are ending their strike and getting a raise.… https://t.co/nJ8oi1HnZ5,42,CBSNews
142,0.0,Tue Mar 06 23:56:29 +0000 2018,0.0,1.0,0.0,CBS News investigates the mining of cobalt used in many lithium ion batteries. More than half the world's cobalt co… https://t.co/7Pebz7gCCA,43,CBSNews
